,title,url,language,domain,date,query,company,topic,company_query,crawl_source
0,Is US Climate Policy Helping or Hurting? - Foreign Policy,https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vZm9yZWlnbnBvbGljeS5jb20vMjAyMy8wMS8xNC91cy1jbGltYXRlLXBvbGljeS1iaWRlbi1pbmZsYXRpb24tcmVkdWN0aW9uLWFjdC_SAQA?oc=5,,https://foreignpolicy.com,2023-01-14 08:00:00,climate change,Bank of America,environmental,Bank of America climate change,google
1,The Energy Transition Confronts Reality by Daniel Yergin - Project Syndicate,https://news.google.com/rss/articles/CBMibWh0dHBzOi8vd3d3LnByb2plY3Qtc3luZGljYXRlLm9yZy9jb21tZW50YXJ5L2VuZXJneS10cmFuc2l0aW9uLWZvdXItbWFqb3ItY2hhbGxlbmdlcy1ieS1kYW5pZWwteWVyZ2luLTIwMjMtMDHSAQA?oc=5,,https://www.project-syndicate.org,2023-01-23 08:00:00,climate change,Bank of America,environmental,Bank of America climate change,google
2,The 5 best thrillers to watch on Netflix this January - Polygon,https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3LnBvbHlnb24uY29tL3doYXQtdG8td2F0Y2gvMjAyMy8xLzIxLzIzNTU4ODQ0L2Jlc3QtdGhyaWxsZXItbW92aWVzLW5ldGZsaXgtd2F0Y2gtamFudWFyeS0yMDIz0gF1aHR0cHM6Ly93d3cucG9seWdvbi5jb20vcGxhdGZvcm0vYW1wL3doYXQtdG8td2F0Y2gvMjAyMy8xLzIxLzIzNTU4ODQ0L2Jlc3QtdGhyaWxsZXItbW92aWVzLW5ldGZsaXgtd2F0Y2gtamFudWFyeS0yMDIz?oc=5,,https://www.polygon.com,2023-01-21 08:00:00,climate change,Bank of America,environmental,Bank of America climate change,google
3,"Analysis | Manchin doubles down on electric car subsidies, despite ... - The Washington Post",https://news.google.com/rss/articles/CBMidGh0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS9wb2xpdGljcy8yMDIzLzAxLzI1L21hbmNoaW4tZG91Ymxlcy1kb3duLWVsZWN0cmljLWNhci1zdWJzaWRpZXMtZGVzcGl0ZS1ldXJvcGUtd3JhdGgv0gEA?oc=5,,https://www.washingtonpost.com,2023-01-25 08:00:00,climate change,Bank of America,environmental,Bank of America climate change,google
4,ESG Watch: Biden flies solo with 'made-in-America' climate legislation - Reuters,https://news.google.com/rss/articles/CBMihQFodHRwczovL3d3dy5yZXV0ZXJzLmNvbS9idXNpbmVzcy9zdXN0YWluYWJsZS1idXNpbmVzcy9lc2ctd2F0Y2gtYmlkZW4tZmxpZXMtc29sby13aXRoLW1hZGUtaW4tYW1lcmljYS1jbGltYXRlLWxlZ2lzbGF0aW9uLTIwMjItMDgtMzEv0gEA?oc=5,,https://www.reuters.com,2022-08-31 07:00:00,climate change,Bank of America,environmental,Bank of America climate change,google
5,Climate Disasters in Latin America Threaten Global Food Security - Bloomberg,https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIyLTA3LTIyL2xhdGluLWFtZXJpY2Etcy1jbGltYXRlLWRpc2FzdGVycy10aHJlYXRlbi1nbG9iYWwtZm9vZC1zZWN1cml0edIBAA?oc=5,,https://www.bloomberg.com,2022-07-22 07:00:00,climate change,Bank of America,environmental,Bank of America climate change,google
6,Bank of America Says It's Ahead of Plans for Financing Sustainable ... - Bloomberg,https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIyLTA0LTA0L2JvZmEtc2F5cy1pdC1zLWFoZWFkLW9mLXBsYW5zLWZvci1maW5hbmNpbmctc3VzdGFpbmFibGUtcHJvamVjdHPSAQA?oc=5,,https://www.bloomberg.com,2022-04-04 07:00:00,climate change,Bank of America,environmental,Bank of America climate change,google
7,The Other Americans: Climate Change Pummels Central America - Progressive.org,https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vcHJvZ3Jlc3NpdmUub3JnL2xhdGVzdC9vdGhlci1hbWVyaWNhbnMtY2xpbWF0ZS1jaGFuZ2UtcHVtbWVscy1jZW50cmFsLWFtZXJpY2EtYWJib3R0LTUxMjIyL9IBAA?oc=5,,https://progressive.org,2022-12-05 08:00:00,climate change,Bank of America,environmental,Bank of America climate change,google
8,"Bitcoin Mining Threatens America's Climate Change Efforts, White ... - Bitcoin News",https://news.google.com/rss/articles/CBMif2h0dHBzOi8vbmV3cy5iaXRjb2luLmNvbS9iaXRjb2luLW1pbmluZy10aHJlYXRlbnMtYW1lcmljYXMtY2xpbWF0ZS1jaGFuZ2UtZWZmb3J0cy13aGl0ZS1ob3VzZS1zY2llbmNlLWFuZC10ZWNoLWRlcGFydG1lbnQtc2F5cy_SAQA?oc=5,,https://news.bitcoin.com,2022-09-08 07:00:00,climate change,Bank of America,environmental,Bank of America climate change,google
9,There is a better way to help poor countries fight climate change - The Economist,https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LmVjb25vbWlzdC5jb20vbGVhZGVycy8yMDIyLzExLzE3L3RoZXJlLWlzLWEtYmV0dGVyLXdheS10by1oZWxwLXBvb3ItY291bnRyaWVzLWZpZ2h0LWNsaW1hdGUtY2hhbmdl0gEA?oc=5,,https://www.economist.com,2022-11-17 08:00:00,climate change,Bank of America,environmental,Bank of America climate change,google
