,title,url,language,domain,date,query,company,topic,company_query,crawl_source
0,"N.J. sues Exxon, Chevron over damages related to climate change - Reuters.com",https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2xlZ2FsL2xpdGlnYXRpb24vbmotc3Vlcy1leHhvbi1jaGV2cm9uLW92ZXItZGFtYWdlcy1yZWxhdGVkLWNsaW1hdGUtY2hhbmdlLTIwMjItMTAtMTgv0gEA?oc=5,,https://www.reuters.com,2022-10-18 07:00:00,climate change,Chevron,environmental,Chevron climate change,google
1,"Exxon, Shell and Chevron Sued by NJ Over Climate Change - Bloomberg",https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIyLTEwLTE4L2V4eG9uLXNoZWxsLWFuZC1jaGV2cm9uLXN1ZWQtYnktbmV3LWplcnNleS1vdmVyLWNsaW1hdGUtY2hhbmdl0gEA?oc=5,,https://www.bloomberg.com,2022-10-18 07:00:00,climate change,Chevron,environmental,Chevron climate change,google
2,"NJ sues oil, gas firms, trade group over climate change - The Associated Press - en Español",https://news.google.com/rss/articles/CBMibmh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL2J1c2luZXNzLWxhd3N1aXRzLW5ldy1qZXJzZXktY2l0eS1leHhvbi1tb2JpbC1jb3JwLWViZDJlNTM4MTA1NGJjNGQ1ZGE1MGUxNDc4ZWFiMzVm0gEA?oc=5,,https://apnews.com,2022-10-18 07:00:00,climate change,Chevron,environmental,Chevron climate change,google
3,Adam McKay’s Scathing Fake Chevron Ad Blasting Its Role in Climate Change Goes Viral - Variety,https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vdmFyaWV0eS5jb20vMjAyMi9kaWdpdGFsL25ld3MvYWRhbS1tY2theS1mYWtlLWNoZXZyb24tYWQtdmlyYWwtMTIzNTM4OTM1NS_SAVZodHRwczovL3ZhcmlldHkuY29tLzIwMjIvZGlnaXRhbC9uZXdzL2FkYW0tbWNrYXktZmFrZS1jaGV2cm9uLWFkLXZpcmFsLTEyMzUzODkzNTUvYW1wLw?oc=5,,https://variety.com,2022-09-30 07:00:00,climate change,Chevron,environmental,Chevron climate change,google
4,Chevron's shareholders vote against emissions cuts proposal - Reuters.com,https://news.google.com/rss/articles/CBMibWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2J1c2luZXNzL3N1c3RhaW5hYmxlLWJ1c2luZXNzL2NoZXZyb24tZm9jdXMtbG93ZXJpbmctY2FyYm9uLWludGVuc2l0eS1jZW8tMjAyMi0wNS0yNS_SAQA?oc=5,,https://www.reuters.com,2022-05-25 07:00:00,climate change,Chevron,environmental,Chevron climate change,google
5,"Big Oil has engaged in a long-running climate disinformation campaign while raking in record profits, lawmakers find - CNN",https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vd3d3LmNubi5jb20vMjAyMi8xMi8wOS9wb2xpdGljcy9iaWctb2lsLWRpc2luZm9ybWF0aW9uLXJlY29yZC1wcm9maXRzLWNsaW1hdGUvaW5kZXguaHRtbNIBZGh0dHBzOi8vYW1wLmNubi5jb20vY25uLzIwMjIvMTIvMDkvcG9saXRpY3MvYmlnLW9pbC1kaXNpbmZvcm1hdGlvbi1yZWNvcmQtcHJvZml0cy1jbGltYXRlL2luZGV4Lmh0bWw?oc=5,,https://www.cnn.com,2022-12-09 08:00:00,climate change,Chevron,environmental,Chevron climate change,google
6,Congress Releases New Evidence of Big Oil Climate Disinformation - The Equation,https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vYmxvZy51Y3N1c2Eub3JnL2thdGh5LW11bHZleS9jb25ncmVzcy1yZWxlYXNlcy1uZXctZXZpZGVuY2Utb2YtYmlnLW9pbC1jbGltYXRlLWRpc2luZm9ybWF0aW9uL9IBAA?oc=5,,https://blog.ucsusa.org,2022-10-12 07:00:00,climate change,Chevron,environmental,Chevron climate change,google
7,Chevron Is Playing Americans for Fools with ‘Green’ Ad Blitz - Rolling Stone,https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LnJvbGxpbmdzdG9uZS5jb20vcG9saXRpY3MvcG9saXRpY3MtbmV3cy9jaGV2cm9uLWNsaW1hdGUtY2hhbmdlLWdyZWVuLWFkLWNhbXBhaWduLTEyNDAwNTMv0gFpaHR0cHM6Ly93d3cucm9sbGluZ3N0b25lLmNvbS9wb2xpdGljcy9wb2xpdGljcy1uZXdzL2NoZXZyb24tY2xpbWF0ZS1jaGFuZ2UtZ3JlZW4tYWQtY2FtcGFpZ24tMTI0MDA1My9hbXAv?oc=5,,https://www.rollingstone.com,2021-10-11 07:00:00,climate change,Chevron,environmental,Chevron climate change,google
8,How US climate lawsuits could hold Big Oil accountable - Al Jazeera English,https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy8yMDIyLzExLzgvaG93LXVzLWNsaW1hdGUtbGF3c3VpdHMtY291bGQtaG9sZC1iaWctb2lsLWFjY291bnRhYmxl0gFjaHR0cHM6Ly93d3cuYWxqYXplZXJhLmNvbS9hbXAvbmV3cy8yMDIyLzExLzgvaG93LXVzLWNsaW1hdGUtbGF3c3VpdHMtY291bGQtaG9sZC1iaWctb2lsLWFjY291bnRhYmxl?oc=5,,https://www.aljazeera.com,2022-11-08 08:00:00,climate change,Chevron,environmental,Chevron climate change,google
9,U.S. and European Oil Giants Go Different Ways on Climate Change - The New York Times,https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjAvMDkvMjEvYnVzaW5lc3MvZW5lcmd5LWVudmlyb25tZW50L29pbC1jbGltYXRlLWNoYW5nZS11cy1ldXJvcGUuaHRtbNIBZGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjAvMDkvMjEvYnVzaW5lc3MvZW5lcmd5LWVudmlyb25tZW50L29pbC1jbGltYXRlLWNoYW5nZS11cy1ldXJvcGUuYW1wLmh0bWw?oc=5,,https://www.nytimes.com,2021-10-13 07:00:00,climate change,Chevron,environmental,Chevron climate change,google
10,"Six Ways Chevron Imperils Climate, Human Rights, and Racial Justice - The Equation",https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vYmxvZy51Y3N1c2Eub3JnL2thdGh5LW11bHZleS9zaXgtd2F5cy1jaGV2cm9uLWltcGVyaWxzLWNsaW1hdGUtaHVtYW4tcmlnaHRzLWFuZC1yYWNpYWwtanVzdGljZS_SAQA?oc=5,,https://blog.ucsusa.org,2021-04-02 07:00:00,climate change,Chevron,environmental,Chevron climate change,google
11,Chevron investors back proposal for more emissions cuts - Reuters.com,https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2J1c2luZXNzL2VuZXJneS9jaGV2cm9uLXNoYXJlaG9sZGVycy1hcHByb3ZlLXByb3Bvc2FsLWN1dC1jdXN0b21lci1lbWlzc2lvbnMtMjAyMS0wNS0yNi_SAQA?oc=5,,https://www.reuters.com,2021-05-26 07:00:00,climate change,Chevron,environmental,Chevron climate change,google
12,Chevron's climate plan: Use wind and solar power to drill for oil - Grist,https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vZ3Jpc3Qub3JnL2VuZXJneS9jaGV2cm9ucy1uZXQtemVyby1jbGltYXRlLXBsYW4tdXNlLXdpbmQtYW5kLXNvbGFyLXBvd2VyLXRvLWRyaWxsLWZvci1vaWwv0gEA?oc=5,,https://grist.org,2021-10-13 07:00:00,climate change,Chevron,environmental,Chevron climate change,google
13,Shareholders win majority support for climate proposals at Exxon ... - Grist,https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vZ3Jpc3Qub3JnL2VuZXJneS9zaGFyZWhvbGRlcnMtd2luLW1ham9yaXR5LXN1cHBvcnQtZm9yLWNsaW1hdGUtcHJvcG9zYWxzLWF0LWV4eG9uLWNoZXZyb24v0gEA?oc=5,,https://grist.org,2022-05-26 07:00:00,climate change,Chevron,environmental,Chevron climate change,google
14,"ConocoPhillips, ExxonMobil, and Chevron Climate Pledges and ... - The Equation",https://news.google.com/rss/articles/CBMicmh0dHBzOi8vYmxvZy51Y3N1c2Eub3JnL25pY29sZS1waW5rby9jb25vY29waGlsbGlwcy1leHhvbm1vYmlsLWFuZC1jaGV2cm9uLWNsaW1hdGUtcGxlZGdlcy1hbmQtYWN0aW9ucy1mYWxsLXNob3J0L9IBAA?oc=5,,https://blog.ucsusa.org,2020-10-29 07:00:00,climate change,Chevron,environmental,Chevron climate change,google
15,Chevron chief blames western governments for energy crunch - Financial Times,https://news.google.com/rss/articles/CBMiP2h0dHBzOi8vd3d3LmZ0LmNvbS9jb250ZW50LzgzZDkzYmRkLTY1OWEtNDdiMy05NmJmLTQwODg0ZWY0NmEwOdIBAA?oc=5,,https://www.ft.com,2022-10-12 07:00:00,climate change,Chevron,environmental,Chevron climate change,google
16,The Supreme Court's 2021-2022 Regulatory Term - The Regulatory Review,https://news.google.com/rss/articles/CBMiPmh0dHBzOi8vd3d3LnRoZXJlZ3Jldmlldy5vcmcvMjAyMi8wNy8xMS9zY290dXMtMjAyMS0yMDIyLXRlcm0v0gEA?oc=5,,https://www.theregreview.org,2022-07-11 07:00:00,climate change,Chevron,environmental,Chevron climate change,google
17,Climate activist investors want the CEO of Chevron fired - Quartz,https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vcXouY29tLzIxNDc1NzIvY2xpbWF0ZS1hY3RpdmlzdC1pbnZlc3RvcnMtd2FudC10aGUtY2VvLW9mLWNoZXZyb24tZmlyZWTSAQA?oc=5,,https://qz.com,2022-03-28 07:00:00,climate change,Chevron,environmental,Chevron climate change,google
